n.name,m.name,e
Tuba1c,Tubb3,[:Interact]
Tuba1c,Tubb5,[:Interact]
Tuba1c,Tubb6,[:Interact]
Acta1,Acta2,[:Interact]
Acta1,Actc1,[:Interact]
Acta1,Actg2,[:Interact]
Acta2,Actc1,[:Interact]
Acta2,Actg2,[:Interact]
Acta2,Myh14,[:Interact]
Acta2,Myl6,[:Interact]
Acta2,Pxn,[:Interact]
Acta2,Tln1,[:Interact]
Acta2,Vcl,[:Interact]
Actbl2,Ruvbl2,[:Interact]
Actc1,Actg2,[:Interact]
Actc1,Iqgap1,[:Interact]
Actc1,Slk,[:Interact]
Actc1,Tfrc,[:Interact]
Actg2,Myh14,[:Interact]
Actg2,Myl6,[:Interact]
Actg2,Pxn,[:Interact]
Actg2,Tln1,[:Interact]
Actg2,Vcl,[:Interact]
Actn1,Itga5,[:Interact]
Actn1,Lmnb1,[:Interact]
Actn1,Vcl,[:Interact]
Actn1,Mcam,[:Interact]
Actn1,Itga6,[:Interact]
Actn1,Itga2b,[:Interact]
Actn1,Efhd2,[:Interact]
Actr3b,Arpc3,[:Interact]
Ak2,Nt5c3a,[:Interact]
Alad,Hmbs,[:Interact]
Aldh2,Maoa,[:Interact]
Aldh2,Hibadh,[:Interact]
Aldh2,Hadh,[:Interact]
Aldh2,Doxl1,[:Interact]
Aldh2,Dera,[:Interact]
Aldh2,Aldh9a1,[:Interact]
Anxa5,Tln1,[:Interact]
Anxa5,Tuba4a,[:Interact]
Anxa5,Vcl,[:Interact]
Ap2b1,Ap2m1,[:Interact]
Ap2b1,Arf5,[:Interact]
Ap2b1,Tfrc,[:Interact]
Ap2m1,Tfrc,[:Interact]
Arf5,Cope,[:Interact]
Arpc3,Myo1a,[:Interact]
Arpc3,Myo1c,[:Interact]
Arpc3,Myo5a,[:Interact]
Atp5f1b,Ddx3,[:Interact]
Atp5f1b,Ddx3x,[:Interact]
Atp5f1b,Hspd1,[:Interact]
Bag3,Dnajb11,[:Interact]
Bag3,Hspa9,[:Interact]
Bag3,Hspb1,[:Interact]
Bag3,Ruvbl2,[:Interact]
C3,F2,[:Interact]
Cope,Napa,[:Interact]
Cope,Sptan1,[:Interact]
Cs,Hadhb,[:Interact]
Cs,Ldhb,[:Interact]
Cs,Suclg2,[:Interact]
Ctsb,Ctsl,[:Interact]
Ddx3x,Eif3a,[:Interact]
Ddx3x,Rps13,[:Interact]
Dnajb11,P4hb,[:Interact]
Dnajb11,Ruvbl2,[:Interact]
Dnajb11,Sdf2l1,[:Interact]
Dnajb11,Ppib,[:Interact]
Dnajb11,Pdia4,[:Interact]
Dnajb11,Hyou1,[:Interact]
Dnajb11,Hspa5,[:Interact]
Dnajb11,Hsp90b1,[:Interact]
Ehd1,Ehd4,[:Interact]
Eif3a,Rack1,[:Interact]
Eif3a,Rps13,[:Interact]
Eif5a,Rack1,[:Interact]
Eif5a,Rpl14,[:Interact]
Eif5a,Rpl22,[:Interact]
Eif5a,Rpl23a,[:Interact]
Eif5a,Rpl24,[:Interact]
Eif5a,Rpl30,[:Interact]
Eif5a,Rpl32,[:Interact]
Eif5a,Rps13,[:Interact]
Eif5b,Rack1,[:Interact]
Eif5b,Rpl14,[:Interact]
Eif5b,Rpl22,[:Interact]
Eif5b,Rpl23a,[:Interact]
Eif5b,Rpl24,[:Interact]
Eif5b,Rpl30,[:Interact]
Eif5b,Rpl32,[:Interact]
Eif5b,Rps13,[:Interact]
Ero1a,P4hb,[:Interact]
Ero1a,Pdia4,[:Interact]
Ero1a,Pdia3,[:Interact]
Ero1a,Erp29,[:Interact]
F2,Htra2,[:Interact]
Gna13,Gnaq,[:Interact]
Gna13,Gnas,[:Interact]
Gna13,Gnat1,[:Interact]
Gnaq,Gnas,[:Interact]
Gnaq,Gnat1,[:Interact]
Gnaq,Rras2,[:Interact]
Gnas,Gnat1,[:Interact]
Gpd2,Sdha,[:Interact]
Hadhb,Sdha,[:Interact]
Hadhb,Suclg2,[:Interact]
Hbe1,Hbz,[:Interact]
Hspa9,Hspd1,[:Interact]
Iqgap1,Pak1,[:Interact]
Iqgap1,Pak2,[:Interact]
Iqgap1,Slk,[:Interact]
Iqgap1,Sptan1,[:Interact]
Iqgap1,Tfrc,[:Interact]
Iqgap1,Tln1,[:Interact]
Iqgap1,Vcl,[:Interact]
Itga5,Lyn,[:Interact]
Itga5,Pxn,[:Interact]
Itga5,Tln1,[:Interact]
Kpna4,Kpnb1,[:Interact]
Krt5,Krt75,[:Interact]
Lman2,Napa,[:Interact]
Lman2,Uso1,[:Interact]
Lman2,Tfg,[:Interact]
Lman2,Sec31a,[:Interact]
Ltf,Tfrc,[:Interact]
Myh14,Myl6,[:Interact]
Myh14,Pak1,[:Interact]
Myh14,Pak2,[:Interact]
Myl6,Myo5a,[:Interact]
Myl6,Pak1,[:Interact]
Myl6,Pak2,[:Interact]
Myl6,Ppp1cc,[:Interact]
Myl6,Pxn,[:Interact]
Myl6,Tln1,[:Interact]
Myl6,Vcl,[:Interact]
Myo1a,Myo1c,[:Interact]
Napa,Stx12,[:Interact]
Napa,Tfrc,[:Interact]
Nsfl1c,Pak1,[:Interact]
Nsfl1c,Pak2,[:Interact]
Nsfl1c,Tfrc,[:Interact]
Ogdh,Suclg2,[:Interact]
Pak1,Pak2,[:Interact]
Pak1,Sptan1,[:Interact]
Pak1,Tfrc,[:Interact]
Pak2,Sptan1,[:Interact]
Pak2,Tfrc,[:Interact]
Prdx1,Prdx5,[:Interact]
Prdx3,Prdx5,[:Interact]
Prdx5,Txnrd1,[:Interact]
Psma1,Psmd12,[:Interact]
Psma1,Ubqln4,[:Interact]
Psmd12,Ubqln4,[:Interact]
Pxn,Tln1,[:Interact]
Pxn,Vcl,[:Interact]
Rack1,Rpl14,[:Interact]
Rack1,Rpl22,[:Interact]
Rack1,Rpl23a,[:Interact]
Rack1,Rpl24,[:Interact]
Rack1,Rpl30,[:Interact]
Rack1,Rpl32,[:Interact]
Rack1,Rps13,[:Interact]
Rad23a,Ubqln4,[:Interact]
Rpl14,Rpl22,[:Interact]
Rpl14,Rpl23a,[:Interact]
Rpl14,Rpl24,[:Interact]
