n.name,n.cancer,n.preeclampsia,n.foldc_cancer,n.foldc_pre,n.regulated_cancer,n.regulated_pre,present_in
3,1,0,-0.4403701467,,down,,cancer
A1bg,1,0,-0.7781455102,,down,,cancer
A2m,1,0,-0.7111270661,,down,,cancer
Abcb1b,1,0,-0.5573217453,,down,,cancer
Acta1,1,0,-0.2846746655,,down,,cancer
Acta2,1,0,-0.3161512753,,down,,cancer
Actbl2,1,0,-0.3226692261,,down,,cancer
Actc1,1,0,-0.2849658589,,down,,cancer
Actg2,1,0,-0.3088770231,,down,,cancer
Actn1,1,1,0.2407382272,0.263761838277183,up,up,both
Actr3b,1,0,-0.2945143399,,down,,cancer
Afm,1,0,-0.5748568234,,down,,cancer
Aimp1,1,0,-0.755434925,,down,,cancer
Ak2,1,0,-0.8905880204,,down,,cancer
Alad,1,0,-0.6229818,,down,,cancer
Aldh2,1,0,-0.461168461,,down,,cancer
Alpp,1,0,-0.4651712078,,down,,cancer
Anxa2,1,0,-0.4354893349,,down,,cancer
Anxa5,1,0,-0.5302422381,,down,,cancer
Ap2b1,1,0,-0.587743262,,down,,cancer
Ap2m1,1,0,-0.3819354971,,down,,cancer
Api5,1,0,-0.586329372,,down,,cancer
Arf5,1,0,-0.601809359,,down,,cancer
Arpc3,1,0,-0.4589309675,,down,,cancer
Atic,1,0,-0.4488054595,,down,,cancer
Atp1b1,1,0,0.8868314032,,up,,cancer
Atp5b,1,0,-0.3280337084,,down,,cancer
Atxn10,1,0,-0.5114893853,,down,,cancer
Bag3,1,0,1.581039056,,up,,cancer
Bsg,1,0,0.8376692022,,up,,cancer
C3,1,0,-0.4562925816,,down,,cancer
Ca1,1,0,-0.219911234,,down,,cancer
Cand1,1,0,-0.2006250889,,down,,cancer
Cdv3,1,0,0.5772867279,,up,,cancer
Cntrl,1,0,-0.4817629655,,down,,cancer
Cope,1,0,3.462918883,,up,,cancer
Cotl1,1,0,0.8217555337,,up,,cancer
Cpsf6,1,0,-0.4942674674,,down,,cancer
Cs,1,0,-0.5475531825,,down,,cancer
Csrp1,1,0,0.33104687,,up,,cancer
Ctsb,1,0,0.546866192,,up,,cancer
Ctsl,1,0,-0.5705260353,,down,,cancer
Cyb5b,1,0,-0.7847536595,,down,,cancer
Ddx3,1,0,-0.3518306272,,down,,cancer
Dbnl,1,0,-1.110251651,,down,,cancer
Ddost,1,0,-0.5509885587,,down,,cancer
Ddx17,1,0,-0.4854482184,,down,,cancer
Ddx3x,1,0,-0.2615749925,,down,,cancer
Dnajb11,1,1,-0.4289877996,0.442866643269856,down,up,both
Dpysl2,1,0,-0.7833296765,,down,,cancer
Dstn,1,0,-0.5078316383,,down,,cancer
Ehd1,1,1,-0.4507911486,-0.294619242350258,down,down,both
Ehd4,1,1,0.5762652584,-0.293522834777832,up,down,both
Eif3a,1,0,-0.8590487218,,down,,cancer
Eif5a,1,0,0.7073254571,,up,,cancer
Eif5b,1,0,-0.4929535646,,down,,cancer
Emc2,1,0,-0.747067405,,down,,cancer
En2,1,0,-0.6608291122,,down,,cancer
Eno2,1,0,,,down,,cancer
Ero1l,1,0,0.306257672,,up,,cancer
Etfb,1,0,0.8233167329,,up,,cancer
F2,1,1,-0.5538591433,0.293442408243816,down,up,both
Fkbp14,1,0,0.328003137,,up,,cancer
Gna13,1,0,-0.8614871227,,down,,cancer
Gnaq,1,0,1.345042907,,up,,cancer
Gnas,1,0,-0.7725235012,,down,,cancer
Gnat1,1,0,-0.3821802066,,down,,cancer
Gnpda1,1,0,-0.5167531442,,down,,cancer
Gpd2,1,0,-0.5708793909,,down,,cancer
Gstm4,1,0,-0.3048643064,,down,,cancer
Hadhb,1,0,-0.4972500627,,down,,cancer
Hax1,1,0,1.957400719,,up,,cancer
Hba,1,0,-0.6852687532,,down,,cancer
Hbb-b2,1,0,-0.7959888356,,down,,cancer
Hbe1,1,0,-0.4560052669,,down,,cancer
Hbz,1,0,-0.6589598373,,down,,cancer
Hmbs,1,0,-0.7905052914,,down,,cancer
Hpx,1,1,0.4443595559,0.555550893147785,up,up,both
Hspa9,1,0,-0.5229808009,,down,,cancer
Hspb1,1,0,-0.336033809,,down,,cancer
Hspd1,1,0,-0.7379347578,,down,,cancer
Iqgap1,1,0,-0.2838897696,,down,,cancer
Itga5,1,0,-0.7660322845,,down,,cancer
Itih2,1,0,-0.3082879961,,down,,cancer
Kpna4,1,0,-0.9071121196,,down,,cancer
Kpnb1,1,0,-0.5483829017,,down,,cancer
Krt18,1,0,-0.4244260553,,down,,cancer
Krt5,1,0,-0.340232195,,down,,cancer
Krt75,1,0,-0.289705219,,down,,cancer
Ldhb,1,0,-0.2638536448,,down,,cancer
Lgals1,1,1,-0.2875053697,0.315814971923828,down,up,both
Lman2,1,0,-0.5447158597,,down,,cancer
Lmnb1,1,0,-0.8651649367,,down,,cancer
Lonp1,1,0,0.8589787275,,up,,cancer
Ltf,1,0,0.4125352939,,up,,cancer
Lyn,1,0,-0.7008717086,,down,,cancer
Mat2a,1,0,1.70551664,,up,,cancer
Mug1,1,0,-0.8011966865,,down,,cancer
Mug2,1,0,-0.3519030168,,down,,cancer
Myh14,1,0,-0.6231482652,,down,,cancer
Myl6,1,0,-0.7361574711,,down,,cancer
Myo1a,1,0,-0.7810437487,,down,,cancer
Myo1c,1,0,-0.6808446265,,down,,cancer
Myo5a,1,0,-0.577152741,,down,,cancer
Napa,1,0,-0.3869948688,,down,,cancer
Ndrg1,1,0,0.2724770448,,up,,cancer
Nefl,1,0,-0.4759328932,,down,,cancer
Nsfl1c,1,0,1.137472117,,up,,cancer
Ogdh,1,0,-0.4539481897,,down,,cancer
Olfm4,1,0,0.6105210716,,up,,cancer
P4hb,1,0,-0.4415245704,,down,,cancer
Pak1,1,0,-0.7552255626,,down,,cancer
Pak2,1,0,-0.71538452,,down,,cancer
Pfkl,1,0,-0.2300139392,,down,,cancer
Ppp1cc,1,0,0.4976200095,,up,,cancer
Prdx1,1,0,-0.4548233438,,down,,cancer
Prdx3,1,0,-0.6755634735,,down,,cancer
Prdx4,1,0,-0.5924591334,,down,,cancer
Prdx5,1,1,-0.3602679902,-0.353522936503094,down,down,both
Prmt8,1,0,-0.7198450528,,down,,cancer
Psap,1,0,0.6401791216,,up,,cancer
Psma1,1,0,0.5246360626,,up,,cancer
Psmd12,1,0,0.4237133563,,up,,cancer
Ptbp1,1,0,-0.7671146477,,down,,cancer
Pxn,1,0,2.099522666,,up,,cancer
Rab33b,1,0,-0.6542630449,,down,,cancer
Rab43,1,0,-0.3458834658,,down,,cancer
Rack1,1,0,-0.6400372195,,down,,cancer
Rad23a,1,0,0.3881657653,,up,,cancer
Rap2c,1,0,-0.5098506596,,down,,cancer
Rbp4,1,0,-1.01521763,,down,,cancer
Rilpl1,1,0,1.427391574,,up,,cancer
Rpia,1,0,-0.5576129465,,down,,cancer
Rpl14,1,0,-0.5053473189,,down,,cancer
Rpl22,1,0,-0.5425277966,,down,,cancer
Rpl23a,1,0,0.3838524385,,up,,cancer
Rpl24,1,0,0.3690767436,,up,,cancer
Rpl30,1,0,0.6849270844,,up,,cancer
Rpl32,1,0,0.6801280884,,up,,cancer
Rps13,1,0,-0.5359781941,,down,,cancer
Rragb,1,0,-0.3128751071,,down,,cancer
Rras2,1,0,-0.5208427129,,down,,cancer
Ruvbl2,1,1,-0.296227816,0.217608133951821,down,up,both
Sdha,1,0,-0.7585669643,,down,,cancer
Septin1,1,0,-0.7830668392,,down,,cancer
Septin2,1,0,-0.6862667596,,down,,cancer
Serpina3n,1,0,0.3529952251,,up,,cancer
Sfxn3,1,0,0.756138222,,up,,cancer
Slc25a10,1,0,-0.704141261,,down,,cancer
Slc3a2,1,1,-0.5317781831,-0.290487607320149,down,down,both
Slk,1,0,0.5692042122,,up,,cancer
Spata1,1,0,-0.8786417183,,down,,cancer
Sptan1,1,0,-0.416660316,,down,,cancer
Stk26,1,0,0.6463107491,,up,,cancer
Stx12,1,0,-0.6644279092,,down,,cancer
Suclg2,1,0,-0.4643842778,,down,,cancer
Tfrc,1,0,-0.5169891416,,down,,cancer
Tgm2,1,0,-0.6228388916,,down,,cancer
Tln1,1,0,-0.5883547115,,down,,cancer
Tuba1a,1,0,-0.3638948446,,down,,cancer
Tuba1c,1,0,-0.355256347,,down,,cancer
Tuba3a,1,0,-0.3712097306,,down,,cancer
Tuba4a,1,0,-0.3995328411,,down,,cancer
Tuba8,1,0,-0.412426463,,down,,cancer
Tubb3,1,1,-0.1485252359,-0.325208346048992,down,down,both
Tubb4b,1,0,-0.3456038516,,down,,cancer
Tubb5,1,0,-0.3655692098,,down,,cancer
Tubb6,1,0,-0.1036396117,,down,,cancer
Tufm,1,0,-0.2078756662,,down,,cancer
Uba1,1,0,-0.3441684081,,down,,cancer
Uba6,1,1,0.1927631567,-0.346560160319012,up,down,both
Ubap2l,1,0,-0.1912832226,,down,,cancer
Ubqln4,1,0,-0.528368279,,down,,cancer
Uchl4,1,0,-0.6349663524,,down,,cancer
Vapa,1,0,-0.8387873963,,down,,cancer
Vat1,1,0,-0.5113878815,,down,,cancer
Vcl,1,0,-0.3677909569,,down,,cancer
Xdh,0,1,,-0.259868621826172,,down,pre
Vnn1,0,1,,-0.503856023152668,,down,pre
Vcpip1 Vcip135,0,1,,-1.64296372731527,,down,pre
Utrn rCG_57340,0,1,,-0.461490948994953,,down,pre
Uso1 Vdp,0,1,,0.251262664794922,,up,pre
Upp1 rCG_24466,0,1,,0.574444452921551,,up,pre
Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr,0,1,,0.263598759969074,,up,pre
Uchl5,0,1,,-0.721444765726726,,down,pre
Txnrd1,0,1,,0.344873110453289,,up,pre
Tuba4a Tuba4,0,1,,-0.590092341105144,,down,pre
Tspan9,0,1,,-1.68617979685466,,down,pre
Tram2,0,1,,0.814982414245605,,up,pre
Tram1 Tram,0,1,,0.703567186991371,,up,pre
Tnfaip8,0,1,,0.769172986348472,,up,pre
Tmpo Lap2,0,1,,-0.334324518839519,,down,pre
Tmed7,0,1,,0.515711148579914,,up,pre
Tmed3,0,1,,0.329871813456219,,up,pre
Tm9sf2,0,1,,0.368430137634277,,up,pre
Timp3,0,1,,0.521853129069008,,up,pre
Tfrc Trfr,0,1,,-0.72545051574707,,down,pre
Tfg rCG_52996,0,1,,0.348987579345703,,up,pre
Tes,0,1,,0.422202110290527,,up,pre
Tbl2 LOC686610,0,1,,0.509092648824055,,up,pre
Tapbp AA926063 B3galt4 Cdk2ap1-ps1 Col11a2 Daxx Hsd17b8 Kifc1 LOC224733l-1 LOC224733l-2 Phf1 Rps25-ps1 RT1-A1 RT1-A2 RT1-A3 RT1-DOa RT1-Hb RT1-Ke4 Rxrb Sacm2l-ps1 Sacm2l-ps2 Sec61-ps Syngap1 tapasin,0,1,,0.535372098286949,,up,pre
Syvn1 LOC100910831,0,1,,0.514344533284504,,up,pre
Syap1,0,1,,-0.509501139322918,,down,pre
Stt3a,0,1,,0.324538548787434,,up,pre
Stmn1,0,1,,-0.550722440083824,,down,pre
Stk4,0,1,,-0.370307922363281,,down,pre
Stk10,0,1,,0.788845380147301,,up,pre
St6gal1 Siat1,0,1,,0.911338170369469,,up,pre
Srm,0,1,,0.351666768391926,,up,pre
Sptan1 Spna2,0,1,,-0.286952336629231,,down,pre
Sparc,0,1,,-0.329433759053551,,down,pre
Snx12,0,1,,-0.368426322937012,,down,pre
Slc4a2 Ae2 B3rp2,0,1,,-0.592634201049805,,down,pre
Slc38a4 Ata3 Snat4,0,1,,0.428637186686196,,up,pre
Slc2a1,0,1,,-0.326749165852867,,down,pre
Slc27a3,0,1,,-0.741575558980305,,down,pre
Shmt2,0,1,,0.346064885457359,,up,pre
Sh3bgrl1 Sh3bgrl Sh3bgrl_predicted rCG_38007,0,1,,-0.803342183430988,,down,pre
Sgta Sgt Sgt1 Stg,0,1,,0.268782297770183,,up,pre
Sgpl1 Spl,0,1,,0.451155662536621,,up,pre
Sfn,0,1,,0.337688446044922,,up,pre
Serpinh1,0,1,,0.299797375996906,,up,pre
Serpinb9b RGD1562844,0,1,,-1.00261084238688,,down,pre
Serpinb9,0,1,,0.317842801411945,,up,pre
Serpina3l Spin2a,0,1,,0.520268440246582,,up,pre
Septin5 Sept5,0,1,,0.330323855082195,,up,pre
Sec63,0,1,,0.277335166931152,,up,pre
Sec61a1 Sec61a,0,1,,0.428006807963055,,up,pre
Sec31a,0,1,,0.194966952006023,,up,pre
Sec11a Sec11l1 rCG_24868,0,1,,0.271374384562172,,up,pre
Sdf2l1,0,1,,0.444965998331707,,up,pre
Scarb2 Cd36l2 Limpii,0,1,,-0.283773104349773,,down,pre
Scamp1,0,1,,-0.345183054606117,,down,pre
